Chromosome,start,end
10p,359622,359970
10p,450439,450561
10p,656508,656629
10p,686926,687054
10p,694849,694992
10p,712963,713082
10p,767471,767639
10p,770087,770188
10p,789485,789606
10p,831600,831779
10p,832030,832179
10p,879412,879561
10p,898775,898902
10p,958841,959107
10p,959799,959973
10p,1045804,1046014
10p,1055688,1055813
10p,1092254,1092384
10p,1099152,1099255
10p,1193328,1193492
10p,1228433,1228596
10p,1360215,1360350
10p,1368096,1368233
10p,1378596,1378718
10p,1382484,1382778
10p,1383206,1383496
10p,1387974,1388098
10p,1492636,1492872
10p,1511564,1511733
10p,1518020,1518151
10p,1529668,1529919
10p,1532892,1533061
10p,1533892,1534097
10p,1599070,1599192
10p,1599595,1599759
10p,1654984,1655151
10p,1710309,1710599
10p,1712150,1712298
10p,1798577,1798742
10p,1801033,1801170
10p,1804914,1805029
10q,441767,441886
10q,456154,456263
10q,529081,529330
10q,628537,628694
10q,769320,769448
10q,781847,781982
10q,799996,800128
10q,800582,800766
10q,803396,803546
10q,804315,804552
10q,1000001,1000095
10q,1131243,1131379
10q,1178591,1178703
10q,1193878,1194067
10q,1194957,1195125
10q,1405263,1405401
10q,1421160,1421298
10q,1471215,1471413
10q,1673162,1673316
10q,1675020,1675239
10q,1900361,1900558
10q,1919905,1920162
10q,1941673,1941845
10q,1951973,1952188
10q,1952567,1952697
10q,1974273,1974421
10q,1978764,1978967
10q,1983898,1984095
10q,1984680,1984895
10q,1986922,1987081
10q,2000780,2000932
10q,2001263,2001466
10q,2001737,2001855
10q,2002741,2002948
10q,2013093,2013263
10q,2022943,2023112
10q,2048151,2048301
10q,2049350,2049786
10q,2050311,2050456
10q,2052408,2052624
10q,2054630,2054900
10q,2063217,2063405
10q,2067463,2067769
10q,2073616,2073910
10q,2073997,2074119
10q,2074970,2075068
10q,2078171,2078277
10q,2081329,2081658
10q,2085888,2086046
10q,2086518,2086626
10q,2087171,2087385
10q,2088284,2088655
10q,2089120,2089652
10q,2148330,2148442
10q,2152503,2152630
10q,2153765,2153868
10q,2373921,2374031
10q,2376270,2376494
10q,2383429,2383539
10q,2390638,2390736
10q,2410948,2411067
10q,2430705,2430868
10q,2463253,2463365
10q,2520087,2520328
10q,2526731,2526852
10q,2589748,2589868
10q,2608741,2608944
10q,2609617,2609798
10q,2660580,2660715
10q,2661125,2661281
10q,2662073,2662287
10q,2662316,2662549
10q,2662609,2662993
10q,2663061,2663295
10q,2663875,2664073
10q,2664980,2665168
10q,2673678,2673890
10q,2768883,2769030
10q,2780154,2780339
10q,2928006,2928125
10q,2936333,2936539
10q,3119969,3120078
10q,3230994,3231131
10q,3237765,3238060
10q,3242450,3242660
