CSF1PO,,D2S1338,,D3S1358,,D5S818,,D7S820,,D8S1179,,D13S317,,D16S539,,D18S51,,D19S433,,D21S11,,FGA,,PD,,PE,,TH01,,TPO,,VWA,
7,0.0019,11,0.0005,12,0.0026,7,0.0002,6,0.0002,8,0.0096,6,0.0005,8,0.0237,10,0.0134,10,0.0023,24.2,0.0045,16,0.0005,2.2,0.0099,5,0.0592,4,0.0002,5,0.0002,11,0.001
8,0.0063,13,0.0005,13,0.0033,8,0.0068,6.3,0.0017,9,0.0117,8,0.1378,9,0.121,11,0.0071,11,0.0097,25,0.0009,17,0.0014,6,0.0006,6,0.0003,5,0.0011,6,0.0033,12,0.0002
9,0.0191,15,0.0009,14,0.1033,9,0.029,7,0.0172,10,0.0958,9,0.0627,10,0.0523,12,0.1468,11.2,0.0005,25.2,0.0002,18,0.0132,7,0.0041,7,0.1498,6,0.205,7,0.002,13,0.0013
10,0.2883,16,0.0419,15,0.2679,10,0.0553,8,0.1569,11,0.0939,10,0.0522,11,0.2971,13,0.1268,12,0.0921,26,0.0009,18.2,0.0002,8,0.0206,8,0.015,7,0.1764,8,0.5024,14,0.1006
11,0.3034,17,0.2544,16,0.2555,11,0.3464,9,0.1347,12,0.1289,11,0.3308,12,0.2947,14,0.1524,12.2,0.0018,27,0.0295,19,0.0692,9,0.2,9,0.0094,8,0.1338,9,0.1116,15,0.1301
12,0.3109,18,0.0797,17,0.2059,12,0.381,9.1,0.0005,13,0.3087,12,0.2644,13,0.1817,15,0.1322,13,0.2634,28,0.1468,20,0.1394,10,0.116,10,0.09,8.3,0.0002,10,0.0651,16,0.2303
13,0.0583,19,0.1,18,0.148,13,0.1693,10,0.2646,14,0.2076,13,0.1027,14,0.028,15.2,0.0002,13.2,0.0078,29,0.22,20.2,0.0002,11,0.1564,11,0.1449,9,0.2006,11,0.2868,17,0.2613
14,0.0114,20,0.1668,19,0.0129,14,0.0112,10.1,0.0002,15,0.113,14,0.047,15,0.0016,16,0.1564,14,0.3066,29.2,0.0009,21,0.1805,12,0.1817,12,0.1953,9.3,0.2689,12,0.0275,18,0.1924
15,0.0005,21,0.0327,20,0.0007,15,0.0007,11,0.2208,16,0.0269,15,0.0019,,,17,0.1188,14.2,0.0313,29.3,0.0009,21.1,0.0002,13,0.2055,12.4,0.0003,10,0.013,13,0.0007,19,0.0683
,,22,0.0396,,,,,12,0.1665,17,0.004,,,,,18,0.0662,15,0.151,30,0.2432,21.2,0.0016,14,0.0753,13,0.1081,10.3,0.0006,14,0.0002,20,0.0124
,,23,0.0954,,,,,13,0.0313,,,,,,,19,0.042,15.2,0.058,30.2,0.0372,22,0.1643,15,0.0256,14,0.052,12,0.0002,15,0.0002,21,0.0019
,,24,0.1005,,,,,14,0.0046,,,,,,,20,0.023,16,0.0566,31,0.0623,22.2,0.0077,16,0.0041,15,0.047,,,,,22,0.0002
,,25,0.0788,,,,,15,0.0007,,,,,,,21,0.0096,16.2,0.0101,31.2,0.114,23,0.1471,17,0.0003,16,0.0399,,,,,,
,,26,0.0069,,,,,,,,,,,,,21.2,0.0002,17,0.0046,32,0.0124,23.2,0.0026,,,17,0.0389,,,,,,
,,27,0.0014,,,,,,,,,,,,,22,0.0035,17.2,0.0032,32.2,0.0932,23.3,0.0002,,,18,0.0187,,,,,,
,,,,,,,,,,,,,,,,23,0.0007,18.2,0.0009,33,0.0009,24,0.1436,,,19,0.0137,,,,,,
,,,,,,,,,,,,,,,,24,0.0005,,,33.1,0.0005,24.2,0.0002,,,20,0.0078,,,,,,
,,,,,,,,,,,,,,,,,,,,33.2,0.026,25,0.0813,,,21,0.0047,,,,,,
,,,,,,,,,,,,,,,,,,,,34,0.0002,26,0.0369,,,22,0.0041,,,,,,
,,,,,,,,,,,,,,,,,,,,34.2,0.003,27,0.0053,,,23,0.0009,,,,,,
,,,,,,,,,,,,,,,,,,,,35,0.0014,28,0.0028,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,35.2,0.0007,29,0.0009,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,36,0.0002,30,0.0002,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,44.2,0.0002,,,,,,,,,,
