# BUSCO version is: 2.0.1 ,,,,
"# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)",,,,
# To reproduce this run: python /home/deepseq/tool/BUSCO_v2.0.1/BUSCO.py -i GIGMd_Trinity_Assembled_Supertranscripts_morethanquinientos.fasta.fa.ca -o 202004060334-TCNJ6C9A7M6N71CB_GIGMd_Trinity_500to10000 -l /home/deepseq/tool/BUSCO_v2.0.1/embryophyta_odb9/ -m tran -c 32 -sp arabidopsis,,,,
#,,,,
# Busco id,Status,Sequence,Score,Length
EOG09360002,Fragmented,C0000021011_TRINITY_DN20496_c0_g1,1791.5,916
EOG0936000A,Fragmented,C0000014657_TRINITY_DN6798_c1_g1,712.5,456
EOG0936001N,Fragmented,C0000008687_TRINITY_DN4748_c0_g1,503.7,206
EOG0936001W,Fragmented,C0000001787_TRINITY_DN35135_c0_g1,174.6,140
EOG09360025,Complete,C0000017486_TRINITY_DN24913_c0_g1,965.7,456
EOG0936003Z,Missing,,,
EOG0936004R,Fragmented,C0000011914_TRINITY_DN15697_c0_g1,311.8,174
EOG0936004W,Missing,,,
EOG0936008E,Complete,C0000021130_TRINITY_DN11102_c0_g1,727.4,487
EOG0936008K,Complete,C0000021095_TRINITY_DN5976_c0_g1,2456.4,1153
EOG09360091,Missing,,,
EOG0936009W,Fragmented,C0000017953_TRINITY_DN16187_c0_g1,673.4,472
EOG093600CA,Missing,,,
EOG093600CH,Missing,,,
EOG093600CL,Complete,C0000021030_TRINITY_DN19629_c0_g1,1917.6,1106
EOG093600DF,Missing,,,
EOG093600DJ,Fragmented,C0000017861_TRINITY_DN1584_c1_g1,1128.5,578
EOG093600DL,Missing,,,
EOG093600EH,Missing,,,
EOG093600FR,Fragmented,C0000018866_TRINITY_DN1027_c0_g1,592.3,458
EOG093600G6,Fragmented,C0000020350_TRINITY_DN1393_c0_g1,906.7,662
EOG093600GM,Missing,,,
EOG093600H1,Missing,,,
EOG093600IQ,Fragmented,C0000014519_TRINITY_DN7685_c0_g1,696.7,380
EOG093600K5,Complete,C0000005790_TRINITY_DN2140_c1_g1,431.5,229
EOG093600LV,Missing,,,
EOG093600N9,Fragmented,C0000014024_TRINITY_DN4186_c0_g1,614.3,387
EOG093600NS,Missing,,,
EOG093600O6,Missing,,,
EOG093600OF,Missing,,,
EOG093600ON,Complete,C0000020984_TRINITY_DN5792_c0_g2,1615.6,977
EOG093600OU,Complete,C0000017734_TRINITY_DN3410_c0_g1,1007.5,565
EOG093600P5,Fragmented,C0000019614_TRINITY_DN19481_c0_g1,877.5,452
EOG093600PE,Complete,C0000021092_TRINITY_DN8097_c0_g1,2285.0,1130
EOG093600QB,Complete,C0000020843_TRINITY_DN10827_c0_g1,800.3,550
EOG093600R5,Missing,,,
EOG093600SL,Missing,,,
EOG093600SS,Missing,,,
EOG093600SY,Fragmented,C0000016568_TRINITY_DN16081_c0_g1,647.4,383
EOG093600T6,Missing,,,
EOG093600T8,Complete,C0000020248_TRINITY_DN14883_c0_g1,661.3,661
EOG093600TY,Missing,,,
EOG093600TZ,Fragmented,C0000003704_TRINITY_DN9107_c0_g1,372.3,204
EOG093600U4,Complete,C0000016881_TRINITY_DN3874_c0_g1,663.0,422
EOG093600U9,Complete,C0000020896_TRINITY_DN5555_c0_g1,1456.5,916
EOG093600UX,Missing,,,
EOG093600W2,Complete,C0000017954_TRINITY_DN29088_c0_g1,679.3,443
EOG093600WS,Missing,,,
EOG093600X9,Missing,,,
EOG093600XL,Missing,,,
EOG093600YH,Missing,,,
EOG093600ZL,Missing,,,
EOG0936011P,Fragmented,C0000018604_TRINITY_DN11774_c0_g1,641.0,387
EOG0936011U,Missing,,,
EOG0936011V,Fragmented,C0000006389_TRINITY_DN548_c0_g1,464.9,232
EOG09360146,Missing,,,
EOG09360155,Missing,,,
EOG0936015N,Missing,,,
EOG0936017C,Complete,C0000020916_TRINITY_DN33524_c0_g1,1654.5,838
EOG0936017K,Fragmented,C0000011867_TRINITY_DN19974_c0_g1,643.1,293
EOG09360199,Missing,,,
EOG0936019N,Complete,C0000020606_TRINITY_DN8608_c0_g2,1381.3,776
EOG0936019X,Complete,C0000019353_TRINITY_DN6111_c0_g1,853.2,423
EOG093601AL,Complete,C0000020903_TRINITY_DN11556_c0_g1,1975.6,970
EOG093601AN,Missing,,,
EOG093601CE,Missing,,,
EOG093601CM,Duplicated,C0000020165_TRINITY_DN7934_c0_g1,721.9,560
